状态	动作										转移					
	or	and	lop	add	mult	not	id	(	)	dol	L	A	C	E	T	F
1						s8	s9	s21			2	3	4	5	6	7
2	s10									acc						
3	r3	s11							r3	r3						
4	r5	r5	s12						r5	r5						
5	r7	r7	r7	s13					r7	r7						
6	r9	r9	r9	r9	s14				r9	r9						
7	r11	r11	r11	r11	r11				r11	r11						
8						s8	s9	s21								15
9	r13	r13	r13	r13	r13				r12	r13						
10						s8	s9	s21				16	4	5	6	7
11						s8	s9	s21					17	5	6	7
12						s8	s9	s21						18	6	7
13						s8	s9	s21							19	7
14						s8	s9	s21								20
15	r12	r12	r12	r12	r12				r12	r12						
16	r2	s11							r2	r2						
17	r4	r4	s12						r4	r4						
18	r6	r6	r6	s13					r6	r6						
19	r8	r8	r8	r8	s14				r8	r8						
20	r10	r10	r10	r10	r10				r10	r10						
21						s8	s9	s21			22	3	4	5	6	7
22	s10								s23							
23	r14	r14	r14	r14	r14				r14	r14						
