Jacobi
step	x1	x2	x3	x4	x5	x6	x7	x8	x9	
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1	-0.483871	0.771429	-0.741935	0.000000	-0.350877	0.255319	-0.170732	0.259259	0.344828	
2	-0.078008	0.290646	-0.517972	-0.187876	-0.296780	0.094083	0.016087	0.219825	0.362708	
3	-0.331638	0.515988	-0.718160	-0.136946	-0.418922	0.221386	-0.101890	0.231167	0.301681	
4	-0.196074	0.331918	-0.636309	-0.215622	-0.375489	0.127890	-0.008742	0.204028	0.318270	
5	-0.303425	0.416968	-0.715128	-0.186877	-0.430759	0.193815	-0.077154	0.213300	0.291981	
6	-0.246492	0.339456	-0.681163	-0.220838	-0.406721	0.141916	-0.028916	0.201117	0.301541	
7	-0.295739	0.376891	-0.714622	-0.206322	-0.432038	0.176287	-0.066890	0.206277	0.290162	
8	-0.268953	0.342040	-0.699071	-0.221467	-0.419724	0.148277	-0.041741	0.200746	0.295023	
9	-0.292604	0.359858	-0.714075	-0.214269	-0.431620	0.166164	-0.062236	0.203386	0.289941	
10	-0.279362	0.343476	-0.706580	-0.221264	-0.425403	0.151310	-0.049148	0.200807	0.292357	
11	-0.291023	0.352276	-0.713592	-0.217679	-0.431136	0.160590	-0.060017	0.202137	0.290008	
12	-0.284339	0.344339	-0.709881	-0.221012	-0.427992	0.152799	-0.053227	0.200901	0.291212	
13	-0.290181	0.348764	-0.713260	-0.219211	-0.430811	0.157601	-0.058928	0.201573	0.290093	
14	-0.286776	0.344840	-0.711395	-0.220837	-0.429215	0.153542	-0.055414	0.200968	0.290698	
15	-0.289731	0.347086	-0.713058	-0.219926	-0.430622	0.156023	-0.058384	0.201308	0.290152	
16	-0.287989	0.345118	-0.712112	-0.220733	-0.429808	0.153918	-0.056569	0.201007	0.290458	
17	-0.289493	0.346264	-0.712944	-0.220269	-0.430518	0.155198	-0.058109	0.201181	0.290187	
18	-0.288600	0.345268	-0.712462	-0.220675	-0.430101	0.154109	-0.057173	0.201029	0.290343	
19	-0.289369	0.345855	-0.712882	-0.220438	-0.430462	0.154768	-0.057969	0.201118	0.290206	
20	-0.288910	0.345348	-0.712635	-0.220643	-0.430248	0.154206	-0.057487	0.201041	0.290286	
21	-0.289304	0.345649	-0.712848	-0.220522	-0.430432	0.154546	-0.057898	0.201086	0.290217	
22	-0.289068	0.345390	-0.712722	-0.220627	-0.430323	0.154256	-0.057649	0.201047	0.290258	
23	-0.289270	0.345545	-0.712831	-0.220564	-0.430417	0.154431	-0.057861	0.201070	0.290223	
24	-0.289149	0.345412	-0.712766	-0.220618	-0.430361	0.154282	-0.057733	0.201050	0.290244	
25	-0.289252	0.345492	-0.712822	-0.220586	-0.430409	0.154372	-0.057843	0.201062	0.290225	
26	-0.289190	0.345424	-0.712788	-0.220613	-0.430380	0.154295	-0.057777	0.201052	0.290236	
27	-0.289243	0.345464	-0.712817	-0.220597	-0.430405	0.154341	-0.057833	0.201058	0.290227	
28	-0.289211	0.345429	-0.712800	-0.220611	-0.430390	0.154302	-0.057799	0.201053	0.290233	
29	-0.289239	0.345450	-0.712814	-0.220603	-0.430403	0.154325	-0.057828	0.201056	0.290228	
30	-0.289222	0.345432	-0.712806	-0.220610	-0.430395	0.154305	-0.057811	0.201053	0.290231	
31	-0.289236	0.345443	-0.712813	-0.220605	-0.430402	0.154317	-0.057826	0.201055	0.290228	
32	-0.289228	0.345434	-0.712809	-0.220609	-0.430398	0.154307	-0.057817	0.201054	0.290230	
33	-0.289235	0.345440	-0.712812	-0.220607	-0.430401	0.154313	-0.057824	0.201054	0.290228	

GaussSeidel
step	x1	x2	x3	x4	x5	x6	x7	x8	x9	
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1	-0.483871	0.591705	-0.570150	-0.072171	-0.388862	0.197404	-0.026290	0.187248	0.335343	
2	-0.172058	0.438698	-0.637853	-0.190206	-0.410318	0.177427	-0.040907	0.208115	0.300151	
3	-0.242666	0.388319	-0.690555	-0.209035	-0.420850	0.166528	-0.048882	0.203557	0.293993	
4	-0.267309	0.362304	-0.704181	-0.215461	-0.425971	0.160676	-0.053164	0.202153	0.291902	
5	-0.280106	0.352438	-0.709118	-0.218268	-0.428290	0.157597	-0.055417	0.201569	0.290990	
6	-0.285237	0.348533	-0.711158	-0.219511	-0.429374	0.155997	-0.056587	0.201300	0.290586	
7	-0.287390	0.346868	-0.712042	-0.220080	-0.429894	0.155173	-0.057191	0.201174	0.290401	
8	-0.288354	0.346120	-0.712443	-0.220350	-0.430148	0.154750	-0.057500	0.201113	0.290313	
9	-0.288805	0.345769	-0.712631	-0.220480	-0.430273	0.154534	-0.057658	0.201084	0.290271	
10	-0.289021	0.345601	-0.712722	-0.220544	-0.430336	0.154423	-0.057739	0.201069	0.290250	
11	-0.289128	0.345518	-0.712767	-0.220576	-0.430368	0.154367	-0.057780	0.201061	0.290239	
12	-0.289180	0.345477	-0.712789	-0.220592	-0.430384	0.154338	-0.057801	0.201058	0.290234	
13	-0.289207	0.345457	-0.712800	-0.220600	-0.430392	0.154324	-0.057812	0.201056	0.290231	
14	-0.289220	0.345446	-0.712806	-0.220604	-0.430396	0.154316	-0.057817	0.201055	0.290230	
15	-0.289227	0.345441	-0.712809	-0.220606	-0.430398	0.154313	-0.057820	0.201054	0.290229	
